💬 Message from luvanita in chat: andrew | Time: 2025-01-09 17:37:28.268298
💬 Message from luvanita in chat: is that you | Time: 2025-01-09 17:37:28.268298
💬 Message from buggydown1 in chat: Maybe | Time: 2025-01-09 17:37:28.268298
💬 Message from cenn_elly in chat: crazy | Time: 2025-01-09 17:37:28.268298
💬 Message from i_z in chat: Okay | Time: 2025-01-09 17:37:28.268298
💬 Message from i_z in chat: Chill out <@924429826557898852> | Time: 2025-01-09 17:37:28.268298
💬 Message from i_z in chat: You’re lucky because my wi-fi broke couldn’t warn you | Time: 2025-01-09 17:37:28.268298
💬 Message from i_z in chat: This is firestone server and there’s a lot ppl here | Time: 2025-01-09 17:37:28.268298
💬 Message from buggydown1 in chat: <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> <@846471704066392076> | Time: 2025-01-12 14:42:23.086765
💬 Message from i_z in chat: BOT | Time: 2025-01-12 14:42:23.086765
💬 Message from i_z in chat: ONLINE | Time: 2025-01-12 14:42:23.086765
💬 Message from i_z in chat: NOW | Time: 2025-01-12 14:42:23.086765
💬 Message from buggydown1 in chat: DENIS DAILY | Time: 2025-01-12 14:42:23.086765
💬 Message from .cekrid. in chat: YES SIR | Time: 2025-01-12 14:42:23.086765
💬 Message from buggydown1 in chat: BAN HIM | Time: 2025-01-12 14:42:23.086765
💬 Message from buggydown1 in chat: Hes a fag | Time: 2025-01-12 14:42:23.086765
💬 Message from cenn_elly in chat: who do I ban | Time: 2025-01-12 14:42:23.086765
💬 Message from Chill Taxi#6274 in chat:  | Time: 2025-01-12 14:42:23.086765
💬 Message from buggydown1 in chat: Wrong person | Time: 2025-01-12 14:42:23.086765
💬 Message from buggydown1 in chat: Ban denis | Time: 2025-01-12 14:42:23.086765
💬 Message from Chill Taxi#6274 in chat:  | Time: 2025-01-12 14:42:23.086765
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User:  | Time: 2025-01-12 14:42:23.086765
💬 Message from buggydown1 in chat: It was an accident | Time: 2025-01-12 14:42:23.086765
💬 Message from cenn_elly in chat: 3 warns | Time: 2025-01-12 14:42:23.086765
💬 Message from cenn_elly in chat: 1 kick | Time: 2025-01-12 14:42:23.086765
💬 Message from buggydown1 in Direct Message with Unknown User: ***** you | Time: 2025-01-12 14:42:23.086765
💬 Message from Chill Taxi#6274 in chat:  | Time: 2025-01-12 14:42:23.086765
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User:  | Time: 2025-01-12 14:42:23.086765
💬 Message from buggydown1 in Direct Message with Unknown User: Kill yourself | Time: 2025-01-12 14:42:23.086765
💬 Message from buggydown1 in Direct Message with Unknown User: Nigger | Time: 2025-01-12 14:42:23.086765
💬 Message from Chill Taxi#6274 in chat:  | Time: 2025-01-12 14:42:23.086765
💬 Message from i_z in chat: damn | Time: 2025-01-12 14:42:23.086765
💬 Message from i_z in chat: ?purge 10 | Time: 2025-01-12 14:42:23.086765
💬 Message from i_z in chat: ?purge 10 | Time: 2025-01-12 14:42:23.086765
💬 Message from i_z in chat: ?purge 25 | Time: 2025-01-12 14:42:23.086765
💬 Message from i_z in chat: ?purge 10 | Time: 2025-01-12 14:42:23.086765
💬 Message from i_z in chat: ?purge 9 | Time: 2025-01-12 14:42:23.086765
💬 Message from Chill Taxi#6274 in staff-announcements:  | Time: 2025-05-26 10:26:01.620403
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: Embed message successfully posted. | Time: 2025-05-26 10:26:01.620403
💬 Message from cenn_elly in staff-announcements: <@&1300167248895414279> | Time: 2025-05-26 10:26:01.620403
💬 Message from Chill Taxi#6274 in staff-announcements:  | Time: 2025-05-26 10:26:01.620403
💬 Message from Chill Taxi#6274 in staff-announcements:  | Time: 2025-05-26 10:26:01.620403
💬 Message from Chill Taxi#6274 in staff-announcements:  | Time: 2025-05-26 10:26:01.620403
💬 Message from cenn_elly in staff-announcements: ***** | Time: 2025-05-26 10:26:01.620403
💬 Message from cenn_elly in staff-announcements: .employeedata | Time: 2025-05-26 10:26:01.620403
💬 Message from Chill Taxi#6274 in staff-announcements:  | Time: 2025-05-26 10:26:01.620403
💬 Message from cenn_elly in staff-announcements: .help | Time: 2025-05-26 10:26:01.620403
💬 Message from Chill Taxi#6274 in staff-announcements: ```
​No Category:
  bans         
  employeedata 
  help         Shows this message
  kick         
  nickname     
  ping         

Type .help command for more info on a command.
You can also type .help category for more info on a category.
``` | Time: 2025-05-26 10:26:01.620403
💬 Message from Chill Taxi#6274 in staff-announcements: <@650291274884317212> , <@1036245872121487390>, and <@650409901537099830> are exempt from this week log, due to having required minutes. | Time: 2025-05-26 10:33:19.011589
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: Message successfully sent. | Time: 2025-05-26 10:33:19.011589
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: hi | Time: 2025-05-26 10:39:55.314566
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: DM sent to <@711284441166774302>. | Time: 2025-05-26 10:39:55.314566
💬 Message from cenn_elly in Direct Message with Unknown User: hi | Time: 2025-05-26 10:39:55.314566
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: You are my sunshine My only sunshine You make me happy When skies are gray You'll never know, dear How much I love you Please don't take My sunshine away The other night, dear As I lay sleeping I dreamed I held you In my arms When I awoke, dear I was mistaken So I hung my head and cried You are my sunshine My only sunshine You make me happy When skies are gray You'll never know, dear How much I love you Please don't take My sunshine away | Time: 2025-05-26 10:39:55.314566
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: DM sent to <@923022962339217428>. | Time: 2025-05-26 10:39:55.314566
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User:  | Time: 2025-05-26 10:39:55.314566
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: Test command received! | Time: 2025-05-26 10:39:55.314566
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User:  | Time: 2025-05-26 10:39:55.314566
💬 Message from cenn_elly in trainiee-chat: <@&1300167248895414278> still intrested? | Time: 2025-05-26 13:14:49.401577
💬 Message from Chill Taxi#6274 in staff-chat: Role Employee has been added to <@711284441166774302>. | Time: 2025-05-26 13:14:49.401577
💬 Message from Chill Taxi#6274 in higher-chat:  | Time: 2025-05-26 13:20:04.415244
💬 Message from Chill Taxi#6274 in higher-chat: 🎃 Trick or Treat! 🎃

Choose your candy: | Time: 2025-05-26 13:22:15.333523
💬 Message from Chill Taxi#6274 in higher-chat:  | Time: 2025-05-26 13:24:43.027492
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User:  | Time: 2025-05-26 13:24:43.027492
💬 Message from cenn_elly in higher-chat: ***** | Time: 2025-05-26 13:24:43.027492
💬 Message from Chill Taxi#6274 in higher-chat: https://www.youtube.com/watch?v=K110MtP_Mis&pp=ygUEamF6eg%3D%3D | Time: 2025-05-26 13:28:13.809903
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: Hello, this is a message from cennelly your Chief Executive Officer. I'm letting you know that if you fail to complete the Chill Taxi Training Course you are subjected to termination under policy, and that you showed no intrest in completing it. If your not in the group then this is your last warning before termination. Thank You God Speed. Any questions or concerns please report to <#1314804623990591498> or contact <@711284441166774302>  or <@772587773391536169> | Time: 2025-05-27 17:32:08.211197
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: DM sent to <@949401991174582304>. | Time: 2025-05-27 17:32:08.211197
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: Hello, this is a message from cennelly your Chief Executive Officer. I'm letting you know that if you fail to complete the Chill Taxi Training Course you are subjected to termination under policy, and that you showed no intrest in completing it. If your not in the group then this is your last warning before termination. Thank You God Speed. Any questions or concerns please report to <#1314804623990591498> or contact <@711284441166774302>  or <@772587773391536169> | Time: 2025-05-27 17:32:08.211197
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: DM sent to <@1142118919163887758>. | Time: 2025-05-27 17:32:08.211197
💬 Message from Chill Taxi#6274 in Direct Message with Unknown User: Hello, this is a message from cennelly your Chief Executive Officer. I'm letting you know that if you fail to complete the Chill Taxi Training Course you are subjected to termination under policy, and that you showed no intrest in completing it. If your not in the group then this is your last warning before termination. Thank You God Speed. Any questions or concerns please report to <#1314804623990591498> or contact <@711284441166774302>  or <@772587773391536169> | Time: 2025-05-27 17:32:08.211197
